Time,Day,Year,Quarter,Quarter Progress,Temp,Dew Point,Humidity,Pressure,Visibility,Wind Speed,Conditions,Class
30,3,2015,Fall,0.97826087,39.9,37,0.89,29.75,10,5.8,Clear,Empty
30,0,2016,Winter,0.093333333,1,-6,0.72,30.13,10,11.5,Clear,Empty
30,3,2016,Winter,0.506666667,10,0,0.64,30.22,10,9.2,Clear,Empty
30,4,2016,Winter,0.893333333,37,34,0.89,30.28,10,0,Clear,Empty
30,0,2016,Spring,0.175675676,50,48.9,0.96,29.76,6,5.8,Overcast,Empty
30,2,2016,Spring,0.581081081,52,51.1,0.97,30.01,1,4.6,Mist,Empty
30,2,2015,Fall,0.663043478,37.9,35.1,0.89,29.99,7,0,Overcast,Empty
30,4,2015,Fall,0.989130435,46.9,35.1,0.63,29.61,10,11.5,Clear,Empty
30,1,2016,Winter,0.106666667,19,12.9,0.77,29.72,1.2,12.7,Haze,Empty
30,4,2016,Winter,0.52,19,6.1,0.57,30.25,10,6.9,Overcast,Empty
30,5,2016,Winter,0.906666667,34,30,0.85,30.26,10,0,Clear,Empty
30,1,2016,Spring,0.189189189,35.1,21,0.57,30.2,10,4.6,Clear,Empty
30,3,2016,Spring,0.594594595,52,51.1,0.97,29.99,4,5.8,Light Rain,Empty
30,0,2015,Fall,0.336956522,66,50,0.56,29.62,10,15,Clear,Empty
30,3,2015,Fall,0.673913043,54,51.1,0.9,29.24,10,11.5,Partly Cloudy,Empty
30,2,2016,Winter,0.12,1.9,-7.1,0.66,30.23,10,8.1,Clear,Empty
30,6,2016,Winter,0.92,46,39.9,0.79,29.98,7,3.5,Overcast,Not Busy
30,6,2016,Winter,0.92,44.1,44.1,1,29.68,7,3.5,Light Rain,Not Busy
30,2,2016,Spring,0.202702703,36,27,0.7,30.38,10,0,Clear,Empty
30,4,2016,Spring,0.608108108,53.1,43,0.69,29.97,10,8.1,Clear,Empty
30,1,2015,Fall,0.347826087,52,39.9,0.63,29.58,10,12.7,Clear,Empty
30,4,2015,Fall,0.684782609,41,28.9,0.62,29.89,10,16.1,Mostly Cloudy,Empty
30,3,2016,Winter,0.133333333,25,19,0.78,29.79,10,5.8,Clear,Empty
30,0,2016,Winter,0.933333333,44.1,44.1,1,29.68,7,3.5,Light Rain,Not Busy
30,3,2016,Spring,0.216216216,37,33.1,0.86,30.28,10,0,Clear,Empty
30,2,2015,Fall,0.358695652,46,42.1,0.86,29.88,10,3.5,Clear,Empty
30,4,2016,Winter,0.146666667,42.1,37.9,0.85,29.49,10,15,Clear,Empty
30,0,2016,Winter,0.56,18,16,0.92,30.03,4,6.9,Overcast,Empty
30,1,2016,Winter,0.946666667,46,43,0.89,29.8,6,0,Overcast,Not Busy
30,4,2016,Spring,0.22972973,46,35.1,0.66,30.22,10,4.6,Clear,Not Busy
30,3,2015,Fall,0.369565217,51.1,37.9,0.61,30.03,10,4.6,Clear,Empty
30,1,2016,Winter,0.573333333,25,19.9,0.81,29.85,8,5.8,Overcast,Empty
